,CPD,description
17218,cpd:C20750,L-Carnitinyl-CoA
17219,cpd:C20751,N6-L-Threonylcarbamoyladenine in tRNA; t6A in tRNA
17220,cpd:C20752,2-Methylthio-N6-L-threonylcarbamoyladenine in tRNA; 2-(Methylsulfanyl)-N6-L-threonylcarbamoyladenine in tRNA; ms2t6A in tRNA
17221,cpd:C20753,2-Methylthio-N6-dimethylallyladenine in tRNA; 2-Methylthio-N6-isopentenyladenine in tRNA; 2-(Methylsulfanyl)-N6-dimethylallyladenine in tRNA; ms2i6A in tRNA
17222,cpd:C20754,2-Thio-N6-L-threonylcarbamoyladenine in tRNA; 2-Sulfanyl-N6-L-threonylcarbamoyladenine in tRNA
17223,cpd:C20755,2-Thio-N6-dimethylallyladenine in tRNA; 2-Sulfanyl-N6-dimethylallyladenine in tRNA
17224,cpd:C20756,[Ribosomal protein S12]-L-aspartate
17225,cpd:C20757,[Ribosomal protein S12]-3-thioaspartate
17226,cpd:C20758,[Ribosomal protein S12]-3-methylthioaspartate; 3-(Methylsulfanyl)-L-aspartate-[ribosomal protein S12]
17227,cpd:C20759,Desulfo-A47934
17228,cpd:C20760,20-Oxo-5-O-beta-mycaminosyltylactone; 23-Deoxy-5-O-beta-mycaminosyltylonolide
17229,cpd:C20761,"alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"
17230,cpd:C20762,"3-O-Phospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"
17231,cpd:C20763,"3-O-Methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"
17232,cpd:C20764,Phytyl phosphate
17233,cpd:C20765,"dTDP-beta-L-evernosamine; dTDP-3-amino-2,3,6-trideoxy-3-C-methyl-4-O-methyl-beta-L-arabino-hexopyranose"
17234,cpd:C20766,dTDP-N-hydroxy-beta-L-evernosamine
17235,cpd:C20767,"dTDP-2,3,6-trideoxy-3-C-methyl-4-O-methyl-3-nitroso-beta-L-arabino-hexopyranose"
17236,cpd:C20768,"UDP-2-acetamido-2,6-dideoxy-beta-L-talose; UDP-N-acetyl-beta-L-pneumosamine"
17237,cpd:C20770,N-Methylpavine
17238,cpd:C20771,(+/-)-Pavine
17239,cpd:C20772,3-[(1-Carboxyvinyl)oxy]benzoate; 3-[(1-Carboxyethenyl)oxy]benzoic acid
17240,cpd:C20773,6-Amino-6-deoxyfutalosine
17241,cpd:C20774,UDP-N-acetyl-beta-L-fucosamine
17242,cpd:C20775,beta-Citryl-L-glutamate; beta-Citrylglutamate
17243,cpd:C20776,N-Acetylaspartylglutamylglutamate; N-Acetyl-L-aspartyl-L-glutamyl-L-glutamate; NAAG2
17244,cpd:C20777,Gypenoside LXXV; Ginsenoside LXXV
17245,cpd:C20778,Ginsenoside Rg3
17246,cpd:C20779,Ginsenoside F2
17247,cpd:C20780,Ginsenoside F1
17248,cpd:C20781,"2,4-Diketo-3-deoxy-L-fuconate; 2,4-Diketo-3-deoxy-L-rhamnonate; 2,4-Didehydro-3-deoxy-L-rhamnonate"
17249,cpd:C20782,(S)-2-Phenyloxirane; (S)-Styrene oxide
17250,cpd:C20783,Propane
17251,cpd:C20784,ADP-5-ethyl-4-methylthiazole-2-carboxylate; Adenosine diphospho-5-beta-ethyl-4-methylthiazole-2-carboxylic acid
17252,cpd:C20785,Eleutheroside A; Sitogluside; beta-Sitosterol D-glucoside
17253,cpd:C20786,Eleutheroside E
17254,cpd:C20787,"23,24-Dihydrocucurbitacin B"
17255,cpd:C20788,"Homocystine; 4,4'-Dithiobis(2-aminobutyric acid)"
17256,cpd:C20789,"7-Deoxyloganetate; (1S,4aS,7S,7aR)-1-Hydroxy-7-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate"
17257,cpd:C20790,7-Deoxyloganetin
17258,cpd:C20791,Methyl thioether; Methyl sulfide
17259,cpd:C20792,Oleoylethanolamide; OEA
17260,cpd:C20793,3-Hydroxyoctanoate; 3-Hydroxyoctanoic acid
17261,cpd:C20794,n-7 Unsaturated acyl-[acyl-carrier protein]; omega-7 Fatty acyl-[acyl-carrier protein]
17262,cpd:C20795,Penitrem C
17263,cpd:C20796,N6-Dimethyladenine in rRNA; rRNA containing N6-dimethyladenine
17264,cpd:C20797,"2,3-Dihydroxypropane-1-sulfonate; 3-Sulfopropanediol"
17265,cpd:C20798,2-Hydroxy-3-oxopropane-1-sulfonate; 3-Sulfolactaldehyde
17266,cpd:C20799,Grixazone B
17267,cpd:C20800,3-Methyl-L-tyrosine
17268,cpd:C20801,3-Hydroxy-5-methyl-L-tyrosine
17269,cpd:C20802,(4S)-4-Hydroxy-L-isoleucine; Hydroxyisoleucine
17270,cpd:C20803,5-Methyl-1-naphthoate
17271,cpd:C20804,alpha-Longipinene; (+)-alpha-Longipinene
17272,cpd:C20805,3-Hydroxy-5-methyl-1-naphthoate
17273,cpd:C20806,omega-Hydroxyphylloquinone
17274,cpd:C20807,3-Hydroxy-L-phenylalanine; 3-Tyrosine
17275,cpd:C20808,2-Methyl-1-pyrroline
17276,cpd:C20809,(R)-2-Methylpyrrolidine
17277,cpd:C20810,(S)-3-Chloro-beta-tyrosyl-[pcp]; (3S)-3-Amino-3-(3-chloro-4-hydroxyphenyl)propanoyl-[peptidyl-carrier protein]
17278,cpd:C20811,(-)-exo-alpha-Bergamotene; trans-alpha-Bergamotene
17279,cpd:C20813,OA-6129 A
17280,cpd:C20814,OA-6129 C
17281,cpd:C20815,MM 4550
17282,cpd:C20816,Deacetylepithienamycin F; Deacetyl MM 17880; NA 26975
17283,cpd:C20817,C20817; Carbapenem biosynthesis intermediate 1
17284,cpd:C20818,C20818; Carbapenem biosynthesis intermediate 2
17285,cpd:C20819,C20819; Carbapenem biosynthesis intermediate 5
17286,cpd:C20820,"2,3-Dihydrothienamycin"
17287,cpd:C20821,C20821; Carbapenem biosynthesis intermediate 6
17288,cpd:C20822,C20822; Carbapenem biosynthesis intermediate 3
17289,cpd:C20823,C20823; Carbapenem biosynthesis intermediate 4
17290,cpd:C20824,"3-Nitrobenzanthrone; 3-Nitro-7H-benzo[d,e]anthracen-7-one"
17291,cpd:C20825,Seminolipid; 3-Sulfogalactosyl-1-alkyl-2-acylglycerol; 3-Sulfogalactosyl-2-acyl-1-alkyl-sn-glycerol; 1-O-Alkyl-2-O-acyl-3-beta-(3'-sulfogalactosyl)-sn-glycerol
17292,cpd:C20826,Isovalerylcarnitine; O-Isovaleryl-L-carnitine
17293,cpd:C20827,3-Hydroxyisovalerate; 3-Hydroxy-3-methylbutyrate
17294,cpd:C20828,3-Methylcrotonylglycine
17295,cpd:C20829,Sulfoquinovose; 6-Deoxy-6-sulfo-D-glucopyranose; 6-Deoxy-6-sulfo-D-glucose
17296,cpd:C20830,6-Deoxy-6-sulfo-D-fructose
17297,cpd:C20831,6-Deoxy-6-sulfo-D-fructose 1-phosphate
17298,cpd:C20832,Hydroperoxyicosatetraenoate
17299,cpd:C20833,Oxoicosatetraenoate
17300,cpd:C20834,"Cyclooctat-9-en-7-ol; (1S,3aS,4R,7S,9aS,10aS)-1,4,9a-Trimethyl-7-(propan-2-yl)-1,2,3,3a,4,5,7,8,9,9a,10,10a-dodecahydrodicyclopenta[a,d][8]annulen-4-ol"
17301,cpd:C20835,alpha-L-Fucopyranose; alpha-L-Fucose
17302,cpd:C20836,beta-L-Fucopyranose; beta-L-Fucose
17303,cpd:C20837,Hydroxyepoxyicosatrienoate
17304,cpd:C20838,"3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA; HIP-CoA"
17305,cpd:C20839,(25R)-3-Oxocholest-4-en-26-oate; 3-Oxo-4-cholesten-26-oate; 3-Oxo-4-cholesten-26-oic acid
17306,cpd:C20840,(25S)-3-Oxocholest-4-en-26-oyl-CoA
17307,cpd:C20841,2-Hydroxy-7-methoxy-5-methyl-1-naphthoate
17308,cpd:C20842,2-Hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
17309,cpd:C20843,N5-Phenyl-L-glutamine; gamma-Glutamylanilide
17310,cpd:C20844,"(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate"
17311,cpd:C20845,"(4S,5R)-4,5,6-Trihydroxy-2-iminohexanoate"
17312,cpd:C20846,3-Oxo-3-ureidoisobutyrate
17313,cpd:C20847,(R)-Mevalonate 3-phosphate; (R)-3-Phosphomevalonate
17314,cpd:C20848,"(R)-Mevalonate 3,5-bisphosphate; (R)-3,5-Diphosphomevalonate; (R)-3,5-Bisphosphomevalonate"
17315,cpd:C20849,UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucopyranose
17316,cpd:C20850,N5-Hydroxy-L-ornithine; delta-N-Hydroxyornithine
17317,cpd:C20851,"Dihydromonacolin L acid; (3R,5R)-7-[(1S,2S,4aR,6R,8aS)-2,6-Dimethyl-1,2,4a,5,6,7,8,8a-octahydronaphthalen1yl]-3,5-dihydroxyheptanoate"
17318,cpd:C20852,"3alpha-Hydroxy-3,5-dihydromonacolin L acid; (3R,5R)-7-[(1R,2R,3S,6R,8aR)-3-Hydroxy-2,6-dimethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-1-yl]-3,5-dihydroxyheptanoate"
17319,cpd:C20853,"Monacolin L acid; (3R,5R)-7-[(1S,2S,6R,8aR)-2,6-Dimethyl-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-dihydroxyheptanoate"
17320,cpd:C20854,"Monacolin J acid; (3R,5R)-7-[(1S,2S,6R,8S,8aR)-8-Hydroxy-2,6-dimethyl-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-dihydroxyheptanoic acid"
17321,cpd:C20855,"22-Hydroxydocosahexaenoate; (4Z,7Z,10Z,13Z,16Z,19Z)-22-Hydroxydocosahexaenoic acid"
17322,cpd:C20856,2-Hydroxy-5-methyl-1-naphthoate
17323,cpd:C20857,"2,7-Dihydroxy-5-methyl-1-naphthoate"
17324,cpd:C20858,Protein N5-methyl-L-glutamine
17325,cpd:C20859,Galactosyl-1-alkyl-2-acylglycerol; Galactosyl-2-acyl-1-alkyl-sn-glycerol; 1-O-Alkyl-2-O-acyl-3-beta-galactosyl-sn-glycerol
17326,cpd:C20860,"Triglucosyldiacylglycerol; 1,2-Diacyl-3-O-[beta-D-glucopyranosyl-(1->6)-beta-D-glucopyranosyl-(1->6)-O-beta-D-glucopyranosyl]-sn-glycerol"
17327,cpd:C20861,"Mannobiose; beta-1,4-Mannobiose"
17328,cpd:C20862,5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-(2'-O-methyl-ribonucleotide)-[mRNA]
17329,cpd:C20863,5'-Phospho-[mRNA]; (5')pPur-mRNA
17330,cpd:C20864,5'-Triphospho-[mRNA]; (5')pppPur-mRNA
17331,cpd:C20865,"3beta,12alpha-Dihydroxy-5beta-cholanoate; 3beta,12alpha-Dihydroxy-5beta-cholanoic acid"
17332,cpd:C20866,"Alloavicholate; Alloavicholic acid; 3alpha,7alpha,16alpha-Trihydroxy-5alpha-cholan-24-oic acid"
17333,cpd:C20867,"Avideoxycholate; Avideoxycholic acid; 3alpha,16alpha-Dihydroxy-5beta-cholan-24-oic acid"
17334,cpd:C20868,"Cygnocholate; Cygnocholic acid; 3alpha,7alpha,15alpha-Trihydroxy-5beta-cholan-24-oic acid"
17335,cpd:C20869,UDPMurNAc(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Lac); UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-lactate; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-lactate
17336,cpd:C20870,3-(Methylthio)propanoyl-CoA; 3-(Methylsulfanyl)propanoyl-CoA
17337,cpd:C20871,3'-Hydroxyflavone
17338,cpd:C20872,3'-Methoxyflavone
17339,cpd:C20873,UDPMurNAc(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ser); UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-serine; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-serine
17340,cpd:C20874,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-serine; GlcNAc-(1->4)-MurNAc(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ser)-diphosphoundecaprenol
17341,cpd:C20875,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-lactate; GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Lac)-diphosphoundecaprenol; GlcNAc-(1->4)-MurNAc(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Lac)-diphosphoundecaprenol
17342,cpd:C20876,Very-long-chain acyl-CoA
17343,cpd:C20877,Very-long-chain 3-oxoacyl-CoA
17344,cpd:C20878,Very-long-chain (3R)-3-hydroxyacyl-CoA
17345,cpd:C20879,"Very-long-chain trans-2,3-dehydroacyl-CoA"
17346,cpd:C20880,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-LL-2,6-diaminopimeloyl-D-alanyl-D-lactate; UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-LL-2,6-diaminopimeloyl-D-alanyl-D-lactate"
17347,cpd:C20881,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-LL-2,6-diaminopimeloyl-D-alanyl-D-Lactate; Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-LL-2,6-diaminopimeloyl-D-alanyl-D-Lactate"
17348,cpd:C20882,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-LL-2,6-diaminopimeloyl-(glycyl)-D-alanyl-D-lactate; Und-PP-MurNAc-(GlcNAc)-L-Ala-D-Glu-LL-dap-(Gly)-D-Ala-D-Lac; Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-LL-2,6-diaminopimeloyl-(glycyl)-D-alanyl-D-lactate"
17349,cpd:C20886,"UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-LL-2,6-diaminopimelate; UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-LL-2,6-diaminoheptanedioate"
17350,cpd:C20887,"beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine; 4-O-beta-D-Mannopyranosyl-N-acetyl-D-glucosamine"
17351,cpd:C20888,Cellobionate; Cellobionic acid; 4-O-beta-D-Glucopyranosyl-D-gluconate
17352,cpd:C20889,"D-Galactaro-1,5-lactone"
17353,cpd:C20890,"D-Glucaro-1,5-lactone"
17354,cpd:C20891,Isoxazolin-5-one; 5-Hydroxyisoxazole
17355,cpd:C20892,3-(5-Oxoisoxazolin-2-yl)-L-alanine; beta-(Isoxazolin-5-on-2-yl)-L-alanine
17356,cpd:C20893,3-(5-Oxoisoxazolin-4-yl)-L-alanine; beta-(Isoxazolin-5-on-4-yl)-L-alanine
17357,cpd:C20894,beta-Citraurin; 3-Hydroxy-beta-apo-8'-carotenal; 3beta-Hydroxy-8'-apo-beta-carotenal
17358,cpd:C20895,"(2S,3S)-3-Methylphenylalanine"
17359,cpd:C20896,"D-Galactaro-1,4-lactone"
17360,cpd:C20897,"Glycerophosphoglycoglycerolipid; (sn-Gro-1-P)->6Glc-alpha1->2Glc-alpha1->3acyl2Gro; (sn-Gro-1-P)->6Glcalpha1->2Glcalpha1->3acyl2Gro; 1,2-Diacyl-3-[6''-(sn-glycero-1-phospho-)-alpha-D-kojibiosyl]-sn-glycerol"
17361,cpd:C20898,Lipoteichoic acid; (sn-Gro-1-P)n->6Glc-beta1->6Glc-beta1->3acyl2Gro
17362,cpd:C20899,"Furan-2,5-dicarbaldehyde; 2,5-Furandicarboxaldehyde"
17363,cpd:C20900,5-(Dihydroxymethyl)furan-2-carbaldehyde
17364,cpd:C20901,5-(Dihydroxymethyl)furan-2-carboxylate
17365,cpd:C20902,"3,6-Anhydro-alpha-L-galactopyranose"
17366,cpd:C20903,"3,6-Anhydro-L-galactonate"
17367,cpd:C20904,2-Iminopropanoate
17368,cpd:C20905,2-Iminobutanoate
17369,cpd:C20906,"Galactosylglucosyldiacylglycerol; Gal-alpha1->2Glc-alpha1->3acyl2Gro; 1,2-Diacyl-3-O-[alpha-D-galactopyranosyl-(1->2)-O-alpha-D-glucopyranosyl]-sn-glycerol"
17370,cpd:C20907,"Chondroitin 4,6-sulfate; Chondroitin sulfate E"
17371,cpd:C20908,Dermatan 4-sulfate; Chondroitin sulfate B
17372,cpd:C20909,"Dermatan 4,6-sulfate"
17373,cpd:C20910,L-4-Hydroxyphenylglycyl-L-arginine; L-pHPg-L-Arg
17374,cpd:C20911,C20911; Tabtoxin biosynthesis intermediate 1
17375,cpd:C20912,C20912; Tabtoxin biosynthesis intermediate 2
17376,cpd:C20913,C20913; Tabtoxin biosynthesis intermediate 3
17377,cpd:C20914,C20914; Tabtoxin biosynthesis intermediate 4
17378,cpd:C20915,C20915; Tabtoxin biosynthesis intermediate 5
17379,cpd:C20916,C20916; Tabtoxin biosynthesis intermediate 6
17380,cpd:C20917,Tabtoxin; beta-Tabtoxin
17381,cpd:C20918,Tabtoxinine-beta-lactam
17382,cpd:C20919,Isotabtoxin; delta-Tabtoxin
17383,cpd:C20920,Tabtoxinine-delta-lactam
17384,cpd:C20921,N1-Acetyl-tabtoxinine-beta-lactam
17385,cpd:C20922,"Cembrene C; (1E,5E,9E)-1,5,9-Trimethyl-12-(propan-2-ylidene)cyclotetradeca-1,5,9-triene"
17386,cpd:C20923,"(R)-Nephthenol; 2-[(1R,3E,7E,11E)-4,8,12-Trimethyltetradeca-3,7,11-trien-1-yl]propan-2-ol"
17387,cpd:C20924,"(1S,4E,8E,12E)-2,2,5,9,13-Pentamethylcyclopentadeca-4,8,12-trien-1-ol"
17388,cpd:C20925,"L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate; L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate"
17389,cpd:C20926,gamma-Glutamyltyramine; gamma-L-Glutamyltyramine
17390,cpd:C20927,Sulfazecin; SQ 26445
17391,cpd:C20928,MM 42842
17392,cpd:C20929,3alpha-Hydroxy-3-aminoacylmonobactamic acid
17393,cpd:C20930,"C18G peptide; Human platelet factor IV 18, C18G"
17394,cpd:C20931,4-Amino-4-deoxy-L-arabinose; L-Ara4N
17395,cpd:C20933,(9Z)-Hexadec-9-enoyl-KDO2-lipid IV(A); Palmitoleoyl-KDO2-lipid IV(A); (9Z)-Hexadec-9-enoyl-KDO2-lipid IVA
17396,cpd:C20934,3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid; 2-Keto-3-deoxy-D-glycero-D-galacto-nononic acid; KDN; Deaminated neuraminic acid; Ketodeoxynonulonic acid; 3-Deoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
17397,cpd:C20935,"2-5A; 2',5'-Oligoadenylate 5'-triphosphate"
17398,cpd:C20936,"pppA2'p5'A2'p5'A; Trimeric 2-5A; 2',5'-Triadenylate 5'-triphosphate"
17399,cpd:C20937,Nitroxyl
17400,cpd:C20938,"2,2'-Disulfonyl azobenzene"
17401,cpd:C20939,"3-[(4-Amino-6-chloro-1,3,5-triazin-2-yl)amino]benzenesulfonate"
17402,cpd:C20940,L-Dihydroanticapsin
17403,cpd:C20941,L-Anticapsin; Anticapsin
17404,cpd:C20942,Bacilysin
17405,cpd:C20943,"(R)-Ipsdienol; (4R)-2-Methyl-6-methyleneocta-2,7-dien-4-ol"
17406,cpd:C20944,"Ipsdienone; 2-Methyl-6-methyleneocta-2,7-dien-4-one"
17407,cpd:C20945,Erythrodiol
17408,cpd:C20946,Oleanolic aldehyde
17409,cpd:C20947,(Z)-Icos-5-enoyl-CoA
17410,cpd:C20948,LysW-L-glutamate; LysW-glutamate
17411,cpd:C20949,LysW-L-glutamyl 5-phosphate
17412,cpd:C20950,LysW-L-glutamate 5-semialdehyde
17413,cpd:C20951,LysW-L-ornithine
17414,cpd:C20953,"3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate"
17415,cpd:C20954,(5-Formylfuran-3-yl)methyl phosphate; 2-Furaldehyde phosphate; 4-HFC-P; 4-(Hydroxymethyl)-2-furancarboxaldehyde phosphate
17416,cpd:C20955,3-(Methylthio)acryloyl-CoA; Methylthioacryloyl-CoA; 3-(Methylsulfanyl)acryloyl-CoA
17417,cpd:C20956,alpha-D-Sedoheptulopyranose 7-phosphate
17418,cpd:C20957,L-Alanyl-D-glutamate
17419,cpd:C20958,L-Alanyl-L-glutamate
17420,cpd:C20959,"(4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione; (4S)-4-Hydroxy-5-phosphonooxypentane-2,3-dione; Phospho-DPD; P-DPD"
17421,cpd:C20960,"3-Hydroxy-5-phosphooxypentane-2,4-dione; 3-Hydroxy-5-phosphonooxypentane-2,4-dione; 3-Hydroxy-2,4-pentadione-5-phosphate; P-HPD"
17422,cpd:C20961,"N3-Fumaroyl-L-2,3-diaminopropanoate; N3-Fumaroyl-(S)-2,3-diaminopropanoate; (2E)-4-{[(2S)-2-Amino-2-carboxyethyl]amino}-4-oxobut-2-enoate"
17423,cpd:C20962,Dapdiamide A; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-valine
17424,cpd:C20963,Dapdiamide B; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-isoleucine
17425,cpd:C20964,Dapdiamide C; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-leucine
17426,cpd:C20965,"N(beta)-Epoxysuccinamoyl-DAP-Val; N(beta)-Epoxysuccinamoyl-diaminopropionyl-valine; 3-({[(2R,3R)-3-Carbamoyloxiran-2-yl]carbonyl}amino)-L-alanyl-L-valine"
17427,cpd:C20966,3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine
17428,cpd:C20967,"N(beta)-Epoxysuccinamoyl-DAP; N(beta)-Epoxysuccinamoyl-diaminopropionate; 3-({[(2R,3R)-3-Carbamoyloxiran-2-yl]carbonyl}amino)-L-alanine"
17429,cpd:C20968,3-Hydroxy-3-(methylthio)propanoyl-CoA; 3-Hydroxy-3-(methylsulfanyl)propanoyl-CoA
17430,cpd:C20969,Carboxyphosphate
17431,cpd:C20970,Angiotensin A
17432,cpd:C20971,Alamandine
17433,cpd:C20972,Angiotensin (5-8); Angiotensin-(5-8)
17434,cpd:C20973,Angiotensin (5-7); Angiotensin-(5-7)
17435,cpd:C20974,8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
17436,cpd:C20975,8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
17437,cpd:C20976,"8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C"
17438,cpd:C20977,"8-Demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin C"
17439,cpd:C20978,Glucoselysine
17440,cpd:C20979,Glucoselysine-6-phosphate
17441,cpd:C20980,3-Methoxy-5-methyl-1-naphthoate
17442,cpd:C20981,"5,10-Dihydrophenazine-1-carboxylate"
17443,cpd:C20982,"9-(Dimethylallyl)-5,10-dihydrophenazine-1-carboxylate; Dihydroendophenazine A"
17444,cpd:C20983,4-O-Dimethylallyl-L-tyrosine
17445,cpd:C20984,3-Linalylflaviolin
17446,cpd:C20985,"2-Sulfotrehalose; 2-O-Sulfo-alpha,alpha-trehalose"
17447,cpd:C20986,"D-Ribose 2,5-bisphosphate"
17448,cpd:C20987,3-Sulfinopropanoyl-CoA
17449,cpd:C20988,[N-(6-Aminohexanoyl)]n; 6-Aminohexanoate oligomer; Nylon-6 oligomer
17450,cpd:C20990,6-Aminohexanoate cyclic oligomer; Nylon-6 cyclic oligomer
17451,cpd:C20991,"1,2-Diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol; Galbeta1->6Galbeta1->3acyl2Gro"
17452,cpd:C20992,"Juvenile hormone I acid; (2E,6E,10R,11S)-10,11-Epoxy-7-ethyl-3,11-dimethyl-2,6-tridecadienoate"
17453,cpd:C20993,S-(L-Histidin-5-yl)-L-cysteine S-oxide
17454,cpd:C20994,S-(Hercyn-2-yl)-L-cysteine S-oxide
17455,cpd:C20995,gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
17456,cpd:C20996,(14E)-Hexadec-14-enoyl-CoA
17457,cpd:C20997,(14Z)-Hexadec-14-enoyl-CoA
17458,cpd:C20998,(11Z)-Hexadec-11-enoyl-CoA
17459,cpd:C20999,"(10E,12Z)-Hexadeca-10,12-dienoyl-CoA"
17460,cpd:C21000,"(9Z,12Z)-Hexadeca-9,12-dienoyl-CoA"
17461,cpd:C21001,"2-O,3-Dimethylflaviolin"
17462,cpd:C21002,"6-Linalyl-2-O,3-dimethylflaviolin"
17463,cpd:C21003,"7-O-Geranyl-2-O,3-dimethylflaviolin"
17464,cpd:C21004,"Norspermine; N,N'-Bis(3-aminopropyl)-1,3-propanediamine"
17465,cpd:C21005,18-Hydroxyoleoyl-CoA
17466,cpd:C21006,18-Hydroxylinoleoyl-CoA
17467,cpd:C21007,"5,6,7,8-Tetrahydromonapterin"
17468,cpd:C21008,"7,8-Dihydromonapterin"
17469,cpd:C21009,N4-Aminopropylspermidine
17470,cpd:C21010,N4-Bis(aminopropyl)spermidine
17471,cpd:C21011,[Protein]-N(epsilon)-(carboxymethyl)lysine; CML-R
17472,cpd:C21012,[Protein]-N(epsilon)-(carboxyethyl)lysine; CEL-R
17473,cpd:C21013,[Protein]-pyrraline; Pyrraline-R
17474,cpd:C21014,[Protein]-pentosidine; Pentosidine-R
17475,cpd:C21015,gamma-L-Glutamyl-L-2-aminobutyrate
17476,cpd:C21016,Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine
17477,cpd:C21017,2-(alpha-Hydroxypropyl)thiamine diphosphate; 2-Hydroxypropyl-ThPP
17478,cpd:C21018,Enzyme N6-(S-propyldihydrolipoyl)lysine; S-Propyldihydrolipoamide-E
17479,cpd:C21019,1-Acyl-2-[(12R)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine
17480,cpd:C21020,(2'R)-2'-Hydroxyphytoceramide
17481,cpd:C21021,(2'R)-2'-Hydroxydihydroceramide
